ID	CLASS
1CB6	3
1CCF	3
1CDL	2
1CEH	3
1CFF	3
1CG3	1
1CG4	1
1CG6	2
1CJC	1
1CJK	4
1CJQ	3
1CJR	3
1CJT	4
1CJU	4
1CJV	4
1CLK	2
1CLV	5
1CM0	2
1COW	3
1CRM	6
1CS4	4
1CSY	2
1CSZ	2
1CTP	4
1CUL	4
1CVU	1
1CWE	4
1CWH	2
1CWI	2
1CWR	3
1CWS	3
1CWT	3
1CX2	1
1CXP	1
1CYD	1
1CZY	6
1CZZ	6
1D00	6
1D01	6
1D0A	6
1D0C	1
1D0J	6
1D0O	1
1D1S	1
1D1T	1
1D1V	1
1D1W	1
1D1X	1
1D1Y	1
1D2V	1
1D2Z	2
1D4O	1
1D5D	3
1D5E	3
1D5F	6
1D5G	3
1D5H	3
1D5L	1
1D5U	3
1D6J	4
1D6O	2
1D7R	6
1D7S	6
1D7W	1
1DAE	1
1DAG	1
1DAH	1
1DAK	1
1DAO	1
1DBS	1
1DCN	4
1DCO	6
1DCP	6
1DCX	1
1DD0	1
1DDI	3
1DDO	1
1DDX	1
1DEU	3
1DFJ	3
1DHP	6
1DHT	1
1DIX	5
1DJL	3
1DJS	4
1DLM	3
1DLQ	3
1DM6	1
1DM7	1
1DM8	1
1DMH	3
1DMI	1
1DMJ	1
1DMK	1
1DMU	5
1DMX	6
1DMY	4
1DNK	3
1DNQ	2
1DNR	2
1DNU	1
1DNW	1
1DO8	1
1DQU	6
1DR1	1
1DR2	1
1DR3	1
1DR4	1
1DR5	1
1DR6	1
1DR7	1
1DSE	3
1DSG	3
1DSN	3
1DTW	1
1DV7	6
1DX4	3
1DXE	6
1DXF	6
1DXI	2
1DY5	3
1DYN	3
1DYW	2
1DZR	2
1DZT	2
1E1A	3
1E1K	1
1E1L	1
1E1M	1
1E1N	1
1E1O	1
1E1Q	3
1E1R	3
1E1Z	3
1E26	3
1E2A	4
1E2S	3
1E33	3
1E3C	3
1E3Z	5
1E47	6
1E4U	6
1E6C	4
1E6E	1
1E79	3
1E8Y	2
1E8Z	2
1E9K	3
1EA6	3
1EB3	6
1ED4	1
1ED5	1
1ED6	1
1EDZ	3
1EF7	3
1EFH	2
1EFK	1
1EFL	1
1EFR	3
1EH3	3
1EH5	3
1EHE	3
1EHK	3
1EHW	2
1EI9	3
1EIC	3
1EID	3
1EIE	3
1EIQ	3
1EK5	2
1EKB	3
1EKE	5
1EKK	4
1EKQ	4
1EMH	3
1EMJ	3
1EMS	3
1EN7	5
1EO4	5
1EO9	3
1EOA	3
1EOB	3
1EON	5
1EOO	5
1EOP	5
1EOS	5
1EOV	1
1EOW	3
1EPZ	2
1EQF	2
1EQU	1
1EQX	6
1ES7	2
1ES9	3
1ESG	5
1ESQ	4
1ETR	3
1ETS	3
1ETT	3
1EUC	6
1EUD	6
1EUN	6
1EVI	1
1EVU	2
1EW2	3
1EWN	3
1EX0	2
1EXW	3
1EY2	1
1EYM	2
1EYU	5
1F0J	3
1F0M	2
1F0O	5
1F0Q	4
1F0V	5
1F13	2
1F1J	3
1F1R	3
1F1V	3
1F1X	3
1F24	3
1F26	3
1F2J	6
1F3V	6
1F4R	3
1F5A	2
1F5V	3
1F68	2
1F6K	6
1F6O	3
1F6W	3
1F8A	2
1F8R	1
1F8S	1
1F9B	3
1F9E	3
1F9X	6
1FAP	2
1FB1	3
1FCK	3
1FCQ	3
1FCU	3
1FCV	3
1FDK	3
1FDS	1
1FDT	1
1FDU	1
1FDV	1
1FDW	1
1FEV	3
1FGH	4
1FGI	4
1FGK	4
1FGL	2
1FGS	1
1FGX	2
1FIE	2
1FKB	2
1FKD	2
1FKI	2
1FL4	3
1FLT	4
1FM6	2
1FM9	2
1FMI	3
1FMK	4
1FO2	3
1FO3	3
1FOI	1
1FOJ	1
1FOK	5
1FOL	1
1FOO	1
1FOP	1
1FP0	6
1FPR	3
1FPS	2
1FPU	4
1FPZ	3
1FQ1	3
1FQJ	3
1FQL	6
1FQM	6
1FR4	6
1FR7	6
1FR8	2
1FRO	4
1FS3	3
1FTC	3
1FUO	6
1FUP	6
1FUR	6
1FVA	1
1FVG	1
1FW1	2
1FWR	6
1FXU	2
1FXW	3
1FYC	2
1FYD	1
1FYJ	6
1FZY	1
1G1C	2
1G3F	6
1G4I	3
1G6V	6
1G73	6
1G86	3
1G8T	5
1G9H	5
1GAG	4
1GEQ	6
1GGR	4
1GGT	2
1GGU	2
1GGY	2
1GH4	3
1GIH	4
1GII	4
1GIO	3
1GLK	2
1GLV	1
1GMP	5
1GNG	2
1GOU	5
1GOV	5
1GOY	5
1GP1	1
1GQF	3
1GQG	3
1GQV	5
1GQW	3
1GSA	1
1GSH	1
1GSO	1
1GSU	2
1GTR	1
1GTS	1
1GV7	3
1GVF	6
1GW9	2
1GWE	3
1GWF	3
1GWZ	3
1GX2	3
1GXC	2
1GZ3	1
1GZ4	1
1H05	6
1H0P	5
1H0S	6
1H1B	3
1H1I	3
1H1W	2
1H1Y	2
1H1Z	2
1H2K	1
1H2L	1
1H2M	1
1H2N	1
1H3E	1
1H43	3
1H44	3
1H45	3
1H4V	1
1H4W	3
1H56	5
1H6N	3
1H73	4
1H7K	3
1H7O	6
1H7S	3
1H7U	3
1H8E	3
1H8F	2
1H8H	3
1H8X	5
1HBZ	3
1HCB	6
1HDK	3
1HE7	2
1HE8	2
1HJR	5
1HNE	3
1HPL	3
1HQ6	6
1HRK	4
1HRT	3
1HSE	3
1HSO	1
1HTI	5
1HTO	1
1HTY	3
1HV5	3
1HWW	3
1HWY	1
1HWZ	1
1HXK	3
1HY1	4
1HZD	4
1I09	2
1I0X	5
1I2T	6
1I3L	2
1I3N	2
1I3O	6
1I45	2
1I4E	3
1I4S	5
1I5R	1
1I6B	3
1I6K	1
1I6O	6
1I71	3
1I7K	1
1I7P	3
1I83	1
1I8J	6
1I8V	5
1I8Z	6
1IA3	3
1IAA	3
1IAB	3
1IAC	3
1IAD	3
1IAE	3
1IAH	4
1IAJ	4
1IBU	6
1ID5	3
1IDP	6
1IF8	6
1IG1	2
1IGR	2
1IHJ	3
1IHO	1
1IIB	4
1IIP	5
1IK7	2
1IK9	6
1IMO	6
1IN1	6
1INP	3
1IOD	3
1IOL	1
1IOW	1
1IPI	5
1IR3	4
1IRB	3
1IRE	6
1IRU	3
1IRY	3
1ISF	3
1ISG	3
1ISH	3
1ISI	3
1ISJ	3
1ISM	3
1IST	2
1ITO	3
1ITQ	3
1ITU	3
1IVO	2
1IVR	2
1IVY	3
1IYZ	3
1IZ3	1
1IZP	5
1IZQ	3
1IZR	3
1J09	1
1J0W	4
1J1B	2
1J1C	2
1J1F	5
1J1L	1
1J1U	1
1J2A	2
1J2X	3
1J2Y	6
1J3H	4
1J4B	1
1J4H	2
1J4I	2
1J4R	2
1J5W	1
1J6U	1
1J7D	1
1J7L	4
1J7U	4
1J7Z	3
1J80	3
1J81	3
1J82	3
1J8F	3
1J90	2
1J99	2
1JAS	1
1JAT	1
1JBB	1
1JBP	4
1JBQ	4
1JBV	1
1JBW	1
1JCI	3
1JCJ	6
1JCN	1
1JCZ	6
1JD0	4
1JD4	6
1JD5	6
1JD6	6
1JDI	2
1JEN	6
1JEQ	3
1JEY	3
1JFN	3
1JFZ	5
1JII	1
1JIJ	1
1JIK	1
1JIL	1
1JKK	2
1JKL	2
1JKS	2
1JKT	2
1JL2	5
1JM4	2
1JM7	6
1JMY	3
1JN4	3
1JNK	2
1JNQ	3
1JOL	3
1JOO	5
1JP1	3
1JP2	3
1JPH	6
1JQH	2
1JR2	4
1JS0	3
1JSP	2
1JTV	1
1JU5	2
1JUH	3
1JUV	3
1JVT	3
1JVU	3
1JVV	3
1JVW	2
1JWO	2
1JXQ	3
1JY1	3
1K04	4
1K05	4
1K0Z	5
1K1F	2
1K27	2
1K2A	5
1K2F	6
1K2P	4
1K3A	4
1K3C	6
1K4W	2
1K74	2
1K7L	2
1K7W	4
1K86	3
1K87	3
1K88	3
1K8Q	3
1K8W	6
1K97	1
1KAG	4
1KBH	2
1KCW	1
1KEQ	6
1KF2	3
1KF3	3
1KF4	3
1KF5	3
1KF7	3
1KF8	3
1KGX	5
1KH8	5
1KI4	4
1KI6	4
1KI7	4
1KI8	4
1KIF	1
1KIG	3
1KIM	4
1KIV	3
1KLG	5
1KLK	3
1KLU	5
1KLY	6
1KLZ	6
1KM2	6
1KMS	3
1KNW	6
1KOA	2
1KOP	6
1KOQ	6
1KP3	1
1KQP	1
1KRJ	3
1KRM	3
1KRS	1
1KS6	2
1KSK	6
1KSW	4
1KTB	3
1KTC	3
1KTM	2
1KTN	6
1KTZ	2
1KUT	1
1KV6	2
1KVI	3
1KVJ	3
1KVK	4
1KVW	3
1KVX	3
1KVY	3
1KWP	2
1L1D	3
1L2U	6
1L5T	3
1LAM	3
1LAN	3
1LAP	3
1LBE	3
1LBM	2
1LCF	3
1LCI	1
1LCL	3
1LCP	3
1LCT	3
1LDJ	6
1LDK	6
1LE6	3
1LE7	3
1LFC	3
1LFG	3
1LFH	3
1LFI	3
1LGB	3
1LGD	6
1LGR	1
1LHP	4
1LHQ	3
1LHR	4
1LIQ	2
1LKZ	2
1LLQ	1
1LON	1
1LOO	1
1LOP	2
1LRB	3
1LRC	3
1LRJ	2
1LRL	2
1LSQ	5
1LUG	6
1LV8	2
1LVU	2
1LXQ	3
1LXS	3
1LXU	3
1LXW	3
1LXX	3
1LYX	2
1M07	5
1M0C	2
1M0I	5
1M0N	6
1M0Q	6
1M0S	2
1M0U	2
1M14	2
1M17	4
1M1B	5
1M1I	3
1M1V	3
1M36	2
1M3G	3
1M54	4
1M6B	2
1M6D	3
1M6I	1
1M78	3
1M7G	4
1M7H	4
1M7N	4
1M7O	2
1M85	3
1M9C	2
1M9D	2
1M9E	2
1M9F	2
1M9Z	2
1MAP	2
1MAQ	2
1MAU	1
1MBY	4
1MEA	1
1MEZ	1
1MF3	3
1MFW	2
1MFX	1
1MG4	2
1MH9	3
1MHL	1
1MHM	6
1MIA	3
1MJ4	1
1MKB	6
1MKD	3
1MKH	1
1MKQ	3
1MKS	3
1MKT	3
1MKU	3
1MKV	3
1MKW	3
1MKX	3
1MM2	3
1MM3	3
1MOP	1
1MOX	2
1MQ0	3
1MSZ	3
1MU7	3
1MU9	3
1MUM	6
1MUW	2
1MVS	3
1MVT	3
1MWO	5
1MX3	1
1MXG	5
1MXS	6
1MYP	1
1MZE	1
1MZF	1
1MZH	6
1N07	4
1N1A	2
1N2B	1
1N2G	1
1N2H	1
1N2K	3
1N2L	3
1N2M	6
1N2O	1
1N3L	1
1N4C	3
1N4H	2
1N55	2
1N5D	1
1N72	2
1N76	3
1N7K	6
1NAH	2
1NAL	6
1NB0	2
1NB9	2
1NBM	3
1NBU	6
1NCT	2
1NCU	2
1NDV	3
1NDW	3
1NDY	3
1NDZ	3
1NEY	2
1NF5	2
1NHE	2
1NHT	1
1NIS	4
1NIT	4
1NJ5	1
1NJ6	1
1NKH	2
1NKX	3
1NL1	3
1NL2	3
1NM8	2
1NMK	2
1NMM	2
1NMV	2
1NMW	2
1NN4	2
1NNI	3
1NOP	3
1NOU	3
1NOW	3
1NP0	3
1NQ7	2
1NQI	2
1NQL	2
1NQT	1
1NR7	1
1NRL	2
1NRZ	4
1NSE	1
1NSI	1
1NSW	3
1NSY	1
1NTG	1
1NTY	2
1NW3	2
1NWA	3
1NWG	2
1NXK	2
1NXM	2
1NY3	2
1NYL	1
1NYW	2
1NZ6	3
1NZL	4
1O0F	3
1O0M	3
1O0N	3
1O0O	3
1O0R	2
1O0S	1
1O0W	5
1O0Y	6
1O23	2
1O2E	3
1O2F	4
1O3W	3
1O4J	4
1O5E	3
1O5F	3
1O5R	3
1O5X	2
1O7A	3
1O7D	3
1O86	3
1O8A	3
1O8B	2
1OAF	3
1OBD	1
1OBG	1
1OE0	2
1OE4	3
1OE5	3
1OE6	3
1OFC	3
1OHC	3
1OHD	3
1OHE	3
1OHH	3
1OHL	6
1OHT	3
1OI7	1
1OIR	4
1OJ5	2
1OKY	2
1OKZ	2
1OL5	4
1OLS	1
1OLU	1
1OLX	1
1OMS	2
1OMW	2
1ONV	3
1OPJ	4
1OPL	2
1OQM	2
1OR8	2
1ORH	2
1ORI	2
1OT3	2
1OU5	2
1OUK	4
1OV4	2
1OVE	4
1OW7	4
1OW8	4
1OXO	2
1OXP	2
1OYN	3
1P13	4
1P4F	2
1P4M	2
1P4O	2
1P57	3
1P5J	4
1P5Z	4
1P6L	1
1P6M	1
1P6N	1
1P6X	4
1P7C	4
1P7P	1
1P8D	2
1P9O	6
1P9Y	2
1PBN	2
1PCA	3
1PDB	3
1PFU	1
1PIN	2
1PJ2	1
1PJ3	1
1PJ4	1
1PJA	3
1PJL	1
1PJX	3
1PKN	4
1PLA	3
1PLC	3
1PLO	4
1PM7	2
1PMN	2
1PMQ	2
1PMU	2
1PMV	2
1PNO	3
1PNQ	3
1POC	3
1PPF	3
1PPG	3
1PRZ	6
1PS3	3
1PTW	3
1PV3	2
1PXX	1
1PYM	5
1PYO	3
1PYX	2
1PZL	2
1PZT	2
1PZV	1
1PZY	2
1Q0O	3
1Q1Q	2
1Q1Z	2
1Q20	2
1Q22	2
1Q2G	3
1Q2O	1
1Q2Z	3
1Q33	3
1Q34	6
1Q3A	3
1Q3D	2
1Q3F	3
1Q3W	2
1Q41	2
1Q4L	2
1Q5H	3
1Q5K	2
1Q5U	3
1Q6I	2
1Q6U	2
1Q78	2
1Q79	2
1Q7X	3
1Q8L	3
1Q8W	4
1Q91	3
1Q92	3
1Q9M	3
1Q9S	2
1QAZ	1
1QB0	3
1QBD	3
1QBJ	3
1QCF	2
1QCQ	1
1QCT	2
1QDQ	3
1QDS	2
1QDU	3
1QF4	1
1QF5	1
1QF8	4
1QFE	6
1QGP	3
1QHC	3
1QHI	4
1QIN	4
1QIP	4
1QJ4	6
1QJI	3
1QJJ	3
1QJM	3
1QKQ	3
1QML	6
1QNH	2
1QO1	3
1QO9	3
1QOA	3
1QOG	3
1QON	3
1QPC	4
1QR2	1
1QR6	1
1QRD	3
1QRK	2
1QRS	1
1QRU	1
1QS7	2
1QSC	6
1QSV	2
1QSZ	2
1QTN	3
1QTQ	1
1QTX	2
1QTY	2
1QU6	2
1QV9	3
1QVJ	3
1QVX	2
1QWN	3
1QWQ	5
1QWR	2
1QWU	3
1QX1	3
1QXL	3
1QYU	6
1QYV	1
1QYW	1
1QYX	1
1QZQ	3
1QZU	4
1R0E	2
1R0S	3
1R12	3
1R15	3
1R16	3
1R2T	2
1R33	3
1R34	3
1R3A	2
1R3C	4
1R3E	6
1R3F	6
1R3M	5
1R3Q	6
1R3S	6
1R46	3
1R47	3
1R54	3
1R55	3
1R74	2
1R79	2
1RAR	3
1RAS	3
1RAT	3
1RBB	3
1RBC	3
1RBD	3
1RBE	3
1RBF	3
1RBG	3
1RBH	3
1RBI	3
1RBJ	3
1RBL	6
1RBN	3
1RBW	3
1RBX	3
1RCA	3
1RCN	3
1RDT	2
1REJ	4
1REW	2
1RFF	3
1RFI	3
1RG1	3
1RG2	3
1RGC	5
1RGE	5
1RGT	3
1RGU	3
1RH0	3
1RHA	3
1RHB	3
1RHF	2
1RJB	2
1RLC	6
1RNC	3
1RND	3
1RNM	3
1RNN	3
1RNO	3
1RNQ	3
1RNU	3
1RNV	3
1RNW	3
1RNX	3
1RNY	3
1RNZ	3
1RO6	3
1RO9	3
1ROB	3
1ROR	3
1RPF	3
1RPG	3
1RPH	3
1RPX	2
1RPZ	4
1RRC	4
1RS8	1
1RS9	1
1RSM	3
1RTA	3
1RTB	3
1RTV	2
1RUV	3
1RV6	2
1RW2	3
1RXD	3
1S18	3
1S1C	2
1S1D	3
1S2J	3
1S2T	5
1S2U	5
1S2V	5
1S2W	5
1S3I	3
1S4Y	2
1S5O	2
1S6O	3
1S6U	3
1S8O	3
1S95	3
1SCC	1
1SCH	3
1SD1	2
1SD2	2
1SDX	3
1SDZ	6
1SE0	6
1SG0	1
1SG4	5
1SHC	2
1SHJ	3
1SHK	4
1SHL	3
1SLI	4
1SLL	4
1SMN	5
1SO2	3
1SOJ	3
1SOO	1
1SOX	1
1SP4	3
1SQY	3
1SRN	3
1SSA	3
1SSB	3
1SSC	3
1SSP	3
1STC	4
1SXR	3
1T3N	2
1T8T	2
1T8U	2
1T94	2
1T9Z	3
1TA0	3
1TAR	2
1TAS	2
1TAT	2
1TB5	3
1TB7	3
1TBA	2
1TBB	3
1TBQ	3
1TBR	3
1TCD	2
1TCO	3
1TDR	3
1TFC	2
1TFF	3
1TFQ	6
1TFT	6
1TGU	1
1TGZ	3
1TH0	3
1TH2	1
1TH3	1
1TH4	1
1THJ	6
1TIM	2
1TIT	2
1TIU	2
1TJU	4
1TJV	4
1TJW	4
1TK7	6
1TKI	2
1TL7	4
1TMQ	5
1TNM	2
1TNN	2
1TOC	3
1TPC	2
1TPH	2
1TPU	2
1TPZ	3
1TQ2	3
1TQ4	3
1TQ6	3
1TQD	3
1TQS	3
1TQT	3
1TQU	3
1TQV	3
1TQW	3
1TRP	5
1TU5	1
1TVY	2
1TW1	2
1TW5	2
1TYC	1
1TYT	3
1U0H	4
1U1B	3
1U20	3
1U2H	2
1U3R	2
1U3S	2
1U3T	1
1U5B	1
1U62	3
1U6G	6
1UAG	1
1UBV	2
1UBW	2
1UBX	2
1UBY	2
1UCG	5
1UCI	5
1UCY	3
1UD4	5
1UF0	2
1UFW	3
1UGH	3
1UHP	6
1UIL	3
1UIX	2
1UKX	2
1UML	3
1UN5	3
1UNE	3
1UOU	2
1UR6	6
1URR	3
1URT	4
1USL	2
1UTE	3
1UTI	2
1UU3	2
1UU7	2
1UU8	2
1UU9	2
1UV5	2
1UVR	2
1UVT	3
1UVU	3
1UW0	6
1UWY	3
1UZ7	5
1UZE	3
1UZF	3
1V04	3
1V0X	1
1V11	1
1V16	1
1V1C	2
1V1M	1
1V1R	1
1V48	2
1V4S	2
1V4T	2
1V5X	2
1V66	6
1V79	3
1V7A	3
1VBT	2
1VD2	2
1VDR	3
1VE9	1
1VF1	2
1VF2	2
1VF3	2
1VF4	2
1VFD	3
1VFE	3
1VFI	1
1VFL	3
1VFN	2
1VFR	3
1VHT	4
1VIA	4
1VIO	6
1VIS	4
1VIT	3
1VIY	4
1VJ5	3
1VKJ	2
1VKQ	3
1VL9	3
1VNF	3
1VPF	4
1VR2	2
1VRK	2
1VZO	2
1W0H	3
1W0J	3
1W0K	3
1W1C	1
1W1D	2
1W1G	2
1W1H	2
1W1I	3
1W2C	2
1W2D	2
1W2F	2
1W3B	2
1W4O	3
1W4P	3
1W4Q	3
1W65	1
1W6U	1
1W6V	3
1W73	1
1W80	3
1W8D	1
1WAA	2
1WAB	3
1WAK	2
1WAO	3
1WAR	3
1WBP	2
1WBU	3
1WC2	3
1WCH	3
1WCI	1
1WDY	3
1WH0	3
1WH1	6
1WHB	3
1WHE	3
1WHF	3
1WHQ	3
1WIT	2
1WIU	2
1WLE	6
1WLJ	3
1WMH	2
1WMK	2
1WO3	2
1WO4	2
1WO5	2
1WO6	2
1WO7	2
1WOJ	3
1WR3	6
1WR4	6
1WR7	6
1WRM	3
1WRZ	2
1WT6	2
1WUG	2
1WUM	2
1WVO	2
1WVW	2
1WVX	2
1WVY	2
1WWA	2
1WWW	2
1WXM	2
1WXY	3
1WXZ	3
1WYI	5
1WYW	3
1X2P	2
1X51	3
1X5D	5
1X5Z	3
1X6C	3
1X6G	2
1X76	2
1X78	2
1X7B	2
1X7J	2
1X7W	1
1X7X	1
1X7Y	1
1X7Z	1
1X80	1
1X8B	2
1X9D	3
1X9N	6
1XAN	3
1XBA	2
1XBB	2
1XBC	2
1XHR	3
1XI2	1
1XI5	3
1XIU	2
1XKK	2
1XLX	3
1XLZ	3
1XM2	3
1XM4	3
1XM6	3
1XMK	3
1XMU	3
1XMY	3
1XN0	3
1XOM	3
1XON	3
1XOQ	3
1XOR	3
1XOS	3
1XOT	3
1XPD	2
1XPS	3
1XPT	3
1XQZ	2
1XR1	2
1XR9	6
1XSE	1
1XT9	3
1XV4	3
1XV7	3
1XV9	2
1XVP	2
1XW3	1
1XW4	1
1XWS	2
1Y02	6
1Y24	3
1Y2B	3
1Y2C	3
1Y2D	3
1Y2E	3
1Y2H	3
1Y2J	3
1Y2K	3
1Y3J	3
1Y3K	3
1Y58	3
1Y6A	2
1Y6B	2
1Y6L	6
1Y8N	2
1Y8O	2
1Y8P	2
1Y97	3
1YA5	2
1YAS	6
1YB1	1
1YCI	1
1YCP	3
1YDR	4
1YDV	2
1YG9	3
1YGO	2
1YGR	3
1YGU	3
1YH2	6
1YH3	3
1YHS	2
1YI3	2
1YI4	2
1YIS	4
1YJR	3
1YJT	3
1YJU	3
1YJV	3
1YM7	2
1YM9	3
1YMD	3
1YMK	3
1YML	3
1YMN	3
1YMR	3
1YMW	3
1YQ7	2
1YR5	2
1YRO	2
1YRP	2
1YRV	6
1YS0	3
1YUO	3
1YV5	2
1YVH	6
1YWN	2
1YWV	2
1YXS	2
1YXT	2
1YXU	2
1YXV	2
1YXX	2
1YY4	2
1YY9	2
1YYE	2
1YZ4	3
1YZB	3
1YZS	1
1YZX	2
1Z1L	3
1Z3D	6
1Z3L	3
1Z3M	3
1Z3P	3
1Z4I	3
1Z4J	3
1Z4K	3
1Z4L	3
1Z4M	3
1Z4P	3
1Z4Q	3
1Z4R	2
1Z57	2
1Z5M	2
1Z6D	3
1Z6S	3
1Z6V	3
1Z6W	3
1Z8G	3
1Z8L	3
1Z9I	2
1Z9X	2
1ZAF	2
1ZBH	3
1ZBU	3
1ZC0	3
1ZD2	3
1ZD3	3
1ZD4	3
1ZD5	3
1ZDL	1
1ZEB	3
1ZED	3
1ZEF	3
1ZET	2
1ZKK	2
1ZKL	3
1ZKN	3
1ZKQ	1
1ZM7	2
1ZMX	2
1ZNC	6
1ZOQ	2
1ZRH	2
1ZRZ	2
1ZS5	2
1ZS6	2
1ZSC	6
1ZUZ	2
1ZVM	3
1ZW5	2
1ZWS	2
1ZX1	1
1ZXC	3
1ZY7	3
1ZYE	1
1ZZP	2
1ZZS	1
1ZZT	1
2A14	2
2A19	2
2A1A	2
2A1D	3
2A27	2
2A2A	2
2A2C	2
2A2D	2
2A2K	3
2A38	2
2A3I	2
2A3K	3
2A3Q	3
2A3Z	3
2A40	3
2A41	3
2A42	3
2A4Z	2
2A5N	1
2A5U	2
2A7O	2
2A8B	3
2A8H	3
2A8I	3
2A8J	3
2A8L	3
2A8M	3
2A8P	3
2A8Q	3
2A8R	3
2A8S	3
2A8T	3
2A98	2
2A99	1
2A9A	1
2A9B	1
2A9C	1
2A9D	1
2A9U	3
2AAS	3
2ABJ	2
2ABL	2
2AC3	2
2AC5	2
2ACJ	3
2ACY	3
2AEH	2
2AEX	1
2AGA	3
2AGH	2
2AHS	3
2AI1	2
2AI2	2
2AI3	2
2AIJ	3
2AIK	3
2AIN	2
2AK2	2
2AK3	2
2AK5	6
2AL6	2
2ALU	3
2ALW	3
2ALZ	2
2AN6	6
2AO7	3
2APQ	3
2APU	3
2AR5	2
2AR9	3
2ASA	1
2ATJ	3
2ATM	3
2AVD	2
2AW0	3
2AWF	6
2AWG	5
2AX4	2
2AXL	3
2AYS	3
2AZG	3
2AZT	2
2B1P	2
2B25	2
2B3O	3
2B49	3
2B65	3
2B69	4
2B6F	1
2B96	3
2B9E	2
2BAX	3
2BCH	3
2BCJ	2
2BD1	3
2BDW	2
2BEU	1
2BEV	1
2BEW	1
2BFB	1
2BFC	1
2BFD	1
2BFE	1
2BFF	1
2BFX	2
2BFY	2
2BGN	3
2BIJ	3
2BIK	2
2BIL	2
2BIY	2
2BJI	3
2BJJ	3
2BK8	2
2BKQ	3
2BKR	3
2BLE	1
2BLP	3
2BLZ	3
2BP1	1
2BP2	3
2BPP	3
2BQ8	3
2BQZ	2
2BTZ	2
2BU2	2
2BU5	2
2BU6	2
2BU7	2
2BU8	2
2BUD	2
2BUG	3
2BUJ	2
2BV5	3
2BVA	2
2BW0	1
2BWG	1
2BYD	2
2BYE	3
2BYF	3
2BZ8	6
2BZH	2
2BZI	2
2BZJ	2
2BZK	2
2BZL	3
2BZS	1
2C0H	3
2C0I	2
2C0O	2
2C0T	2
2C2N	2
2C2Z	3
2C30	2
2C3I	2
2C43	2
2C52	2
2C5L	3
2C6C	3
2C6F	3
2C6G	3
2C6N	3
2C6P	3
2C6Z	3
2C7H	6
2C7S	3
2CBL	6
2CCQ	3
2CDZ	2
2CFI	1
2CFV	3
2CFY	1
2CG5	2
2CGN	1
2CGO	1
2CHM	3
2CHW	2
2CHX	2
2CHZ	2
2CI1	3
2CI3	3
2CI4	3
2CI5	3
2CI6	3
2CI7	3
2CIJ	3
2CJZ	3
2CK3	3
2CKA	3
2CKE	2
2CKG	3
2CKH	3
2CKO	2
2CKP	2
2CKQ	2
2CLQ	2
2CM0	3
2CN5	2
2CN8	2
2COG	2
2COI	2
2COJ	2
2COM	1
2CPL	2
2CPR	3
2CPW	3
2CQ8	1
2CQU	5
2CQY	6
2CR6	2
2CST	2
